pno	pref	lat	lng	pop2020
01	北海道	43.062083333333334	141.3543611111111	5224614
02	青森	40.822	140.7472222222222	1237984
03	岩手	39.701972222222224	141.1543888888889	1210534
04	宮城	38.26811111111111	140.86933333333334	2301996
05	秋田	39.719750000000005	140.10222222222222	959502
06	山形	38.25538888888889	140.3395277777778	1068027
07	福島	37.760888888888886	140.4733611111111	1833152
08	茨城	36.365833333333335	140.4711111111111	2867009
09	栃木	36.555027777777774	139.88280555555556	1933146
10	群馬	36.389361111111114	139.06330555555556	1939110
11	埼玉	35.86161111111111	139.64533333333333	7344765
12	千葉	35.60733333333334	140.10633333333334	6284480
13	東京	35.69383333333333	139.70330555555554	14047594
14	神奈川	35.44372222222222	139.6381111111111	9237337
15	新潟	37.91611111111111	139.03647222222222	2201272
16	富山	36.69586111111111	137.2136111111111	1034814
17	石川	36.561	136.65655555555557	1132526
18	福井	36.064	136.21955555555556	766863
19	山梨	35.66213888888889	138.56825	809974
21	長野	36.64852777777778	138.19422222222224	2048011
22	岐阜	35.42333333333333	136.7606111111111	1978742
23	静岡	34.97558333333333	138.38255555555557	3633202
24	愛知	35.18136111111111	136.90627777777777	7542415
25	三重	34.71863888888889	136.5055	1770254
26	滋賀	35.01775	135.85480555555554	1413610
27	京都	35.01161111111111	135.76811111111112	2578087
28	大阪	34.69372222222222	135.5023611111111	8837685
29	兵庫	34.68944444444444	135.19575	5465002
30	奈良	34.68516666666666	135.80483333333333	1324473
31	和歌山	34.230472222222225	135.1708611111111	922584
32	鳥取	35.500972222222224	134.2352222222222	553407
33	島根	35.46805555555556	133.04866666666666	671126
34	岡山	34.655249999999995	133.91975	1888432
35	広島	34.385194444444444	132.45519444444443	2799702
36	山口	34.17805555555555	131.47369444444445	1342059
37	徳島	34.07027777777778	134.55491666666668	719559
38	香川	34.34277777777778	134.04644444444443	950244
39	愛媛	33.839222222222226	132.76552777777778	1334841
40	高知	33.55880555555555	133.53111111111113	691527
41	福岡	33.59008333333333	130.40161111111112	5135214
42	佐賀	33.263527777777774	130.3007777777778	811442
43	長崎	32.750277777777775	129.8777777777778	1312317
44	熊本	32.80305555555555	130.70783333333333	1738301
45	大分	33.23952777777778	131.60919444444443	1123852
46	宮崎	31.90769444444444	131.42030555555556	1069576
47	鹿児島	31.596666666666664	130.55730555555556	1588256
48	沖縄	26.212416666666666	127.67908333333334	1467480
